"Convergence history of Cd on upper etc. (in SI units)"
"Iteration" "Cd"
("Iteration" "Cd")
1 1.709068
2 -23.80399
3 24.2638
4 39.55925
5 46.91633
6 56.61444
7 72.5381
8 89.52523
9 109.3078
10 125.4097
11 139.6638
12 153.4906
13 166.4619
14 178.6816
15 189.8485
16 197.4633
17 198.2319
18 188.1188
19 171.1209
20 151.9144
21 135.7647
22 122.6274
23 111.2806
24 101.5746
25 94.73586
26 91.94917
27 93.20183
28 97.16093
29 102.2996
30 106.9498
31 110.5413
32 113.0557
33 114.7714
34 115.9298
35 116.7779
36 117.4774
37 118.1623
38 118.8597
39 119.5798
40 120.2658
41 120.924
42 121.5435
43 122.1642
