"Convergence history of Cl on lower etc. (in SI units)"
"Iteration" "Cl"
("Iteration" "Cl")
1 -22.56462
2 -1231.275
3 -1115.745
4 -944.269
5 -771.0692
6 -623.9575
7 -451.4434
8 -290.1338
9 -129.751
10 -4.300653
11 101.8917
12 195.2484
13 278.9474
14 351.762
15 417.394
16 461.2323
17 468.3622
18 414.1484
19 320.329
20 215.5906
21 127.4263
22 55.21519
23 -7.996286
24 -61.85463
25 -97.46391
26 -109.0859
27 -98.07645
28 -73.20665
29 -42.98862
30 -16.7559
31 3.080403
32 16.38402
33 25.17187
34 30.72871
35 34.65076
36 37.79086
37 40.99938
38 44.36283
39 47.96236
40 51.43509
41 54.84408
42 58.08221
43 61.40411
